comdistnm,jobstatusdesc,licencetypes,tradename,first_iss_dt,industry_sector,is_growth,community_volume,impact_weight,is_licensed,vitality_index,recent_growth_count,strategic_action
TUXEDO PARK,Licensed,PERSONAL SERVICE,DEB'S PLACE,2026-03-27 14:27:36,Personal,1,156,1.9,1,0.1,449,MONITOR FRICTION
SUNALTA,Pending Renewal,CONTRACTOR,PROMINENT HOMES,2008-06-13 05:53:46,Construction & Trades,0,140,1.71,0,0.13,404,MONITOR FRICTION
EAST SHEPARD INDUSTRIAL,Pending Renewal,FOOD SERVICE - PREMISES (NO SEATING),BENTO,2010-06-16 11:31:26,Food & Beverage,0,576,7.02,0,0.08,943,URGENT INTERVENTION
WILLOW PARK,Pending Renewal,FOOD SERVICE - NO PREMISES,RUBEN'S VEGGIES,2022-06-18 05:31:20,Food & Beverage,0,313,3.82,0,0.1,943,URGENT INTERVENTION
FOREST LAWN,Renewal Invoiced,FOOD SERVICE - PREMISES (SEATING),SHAWARMA PALACE,2025-05-01 08:48:24,Food & Beverage,1,160,1.95,0,0.09,943,MONITOR FRICTION
EASTFIELD,Renewal Licensed,"MOTOR VEHICLE DEALER - PREMISES,
MOTOR VEHICLE REPAIR AND SERVICE (1)",DYNAMIC SPECIALTY VEHICLES,2022-10-05 10:05:40,Retail Trade,0,115,1.4,0,0.06,894,MONITOR FRICTION
MAYLAND,Renewal Licensed,MANUFACTURER,AUGUST ELECTRONICS,2016-12-01 13:49:30,Manufacturer,0,76,0.93,0,0.07,72,STABLE OPERATIONS
SUNDANCE,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),FRESH KITCHEN,2016-11-08 14:46:47,Food & Beverage,0,60,0.73,0,0.25,943,STABLE OPERATIONS
SOUTH FOOTHILLS,Renewal Licensed,WHOLESALER,MAYFAIR LUMBER SALES,2001-06-01 00:00:00,Wholesaler,0,123,1.5,0,0.12,73,MONITOR FRICTION
HIGHFIELD,Renewal Licensed,MANUFACTURER,ELECTROTEK,2001-06-01 00:00:00,Manufacturer,0,441,5.38,0,0.1,72,URGENT INTERVENTION
HORIZON,Renewal Licensed,WAREHOUSING,TIPPET RICHARDSON,2001-06-01 00:00:00,Warehousing,0,269,3.28,0,0.1,25,URGENT INTERVENTION
INGLEWOOD,Renewal Licensed,AUTO BODY SHOP,HALLMARK AUTO BODY,2001-06-01 00:00:00,Retail Trade,0,212,2.59,0,0.13,894,URGENT INTERVENTION
SUNALTA,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),MORAY MANOR,2001-06-01 00:00:00,Retail Trade,0,140,1.71,0,0.13,894,MONITOR FRICTION
KINGSLAND,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),KRITA INVESTMENTS,2001-06-01 00:00:00,Retail Trade,0,124,1.51,0,0.08,894,MONITOR FRICTION
